commanded position, signed delta, theoretical position, actual position, error
-1.263, 0.16, -1.26,-1.26,-0.003
2.03996, -3.3, 2.04,1.8876,-0.15236
-1.95965, -4, -1.96,-1.8076,-0.15205
-2.06067, 0.1, -2.06,-2.06,-0.00067
0.28294, -2.34, 0.28,0.1276,-0.15534
2.43789, 2.16, 2.44,2.44,0.00211
0.67687, -1.76, 0.68,0.8324,0.15553
-4.57724, 5.26, -4.58,-4.58,0.00276
-7.19647, 2.62, -7.2,-7.2,0.00353
-0.11981, -7.08, -0.12,-0.2724,0.15259
-9.65242, -9.53, -9.65,-9.4976,-0.15482
2.18162, -11.83, 2.18,2.0276,-0.15402
-3.27352, -5.45, -3.27,-3.1176,-0.15592
-0.57831, -2.69, -0.58,-0.7324,0.15409
-8.27927, -7.7, -8.28,-8.1276,-0.15167
6.25775, -14.54, 6.26,6.1076,-0.15015
-2.57228, -8.83, -2.57,-2.4176,-0.15468
4.74875, -7.32, 4.75,4.5976,-0.15115
-0.95651, -5.71, -0.96,-0.8076,-0.14891
6.44549, -7.41, 6.45,6.2976,-0.14789
9.41713, 2.97, 9.42,9.42,0.00287
3.98748, -5.43, 3.99,4.1424,0.15492
-7.55585, 11.55, -7.56,-7.56,0.00415
5.18527, -12.75, 5.19,5.0376,-0.14767
1.27419, -3.92, 1.27,1.4224,0.14821
-4.27009, 5.54, -4.27,-4.27,-9E-05
-9.8048, 5.53, -9.8,-9.8,-0.0048
5.77122, -15.57, 5.77,5.6176,-0.15362
5.30487, -0.47, 5.3,5.4524,0.14753
-4.70404, 10, -4.7,-4.7,-0.00404
8.57176, -13.27, 8.57,8.4176,-0.15416
6.95759, -1.61, 6.96,7.1124,0.15481
-4.34349, 11.3, -4.34,-4.34,-0.00349
6.78044, -11.12, 6.78,6.6276,-0.15284
3.77981, -3, 3.78,3.9324,0.15259
1.53739, 2.24, 1.54,1.54,0.00261
-9.92602, 11.47, -9.93,-9.93,0.00398
4.3948, -14.32, 4.39,4.2376,-0.1572
-2.3995, -6.79, -2.4,-2.2476,-0.1519
