commanded position, signed delta, theoretical position, actual position, error
0.83208, -4.4, 0.83,0.9824,0.15032
3.40663, -2.58, 3.41,3.2576,-0.14903
1.83204, -1.58, 1.83,1.9824,0.15036
-6.33795, 8.17, -6.34,-6.34,0.00205
1.12472, -7.46, 1.12,0.9676,-0.15712
1.47034, 0.35, 1.47,1.47,-0.00034
-1.94289, -3.41, -1.94,-1.7876,-0.15529
0.10581, -2.05, 0.11,-0.0424,-0.06341
9.78338, 9.67, 9.78,9.78,-0.00338
-3.76192, -13.54, -3.76,-3.6076,-0.15432
-4.64735, 0.89, -4.65,-4.65,0.00265
-0.13276, -4.52, -0.13,-0.2824,0.14964
-5.31962, -5.19, -5.32,-5.1676,-0.15202
-4.7835, -0.54, -4.78,-4.9324,0.1489
2.61679, 7.4, 2.62,2.62,0.00321
0.74476, -1.88, 0.74,0.8924,0.14764
-9.95098, 10.69, -9.95,-9.95,-0.00098
7.52494, -17.47, 7.52,7.3676,-0.15734
-8.87375, -16.39, -8.87,-8.7176,-0.15615
-9.66587, 0.8, -9.67,-9.67,0.00413
-0.96177, -8.71, -0.96,-1.1124,0.15063
-0.81478, 0.15, -0.81,-0.81,-0.00478
-1.8396, -1.03, -1.84,-1.6876,-0.152
-5.77289, 3.93, -5.77,-5.77,-0.00289
-7.56862, 1.8, -7.57,-7.57,0.00138
0.81203, -8.38, 0.81,0.6576,-0.15443
7.15817, 6.35, 7.16,7.16,0.00183
-4.70556, -11.87, -4.71,-4.5576,-0.14796
-6.9386, 2.23, -6.94,-6.94,0.0014
-9.6068, 2.67, -9.61,-9.61,0.0032
3.46989, -13.08, 3.47,3.3176,-0.15229
-7.14068, -10.61, -7.14,-6.9876,-0.15308
8.82498, -15.96, 8.82,8.6676,-0.15738
-9.6625, -18.48, -9.66,-9.5076,-0.1549
-9.20853, -0.45, -9.21,-9.3624,0.15387
3.73669, 12.95, 3.74,3.74,0.00331
-7.77672, -11.52, -7.78,-7.6276,-0.14912
7.37344, -15.15, 7.37,7.2176,-0.15584
-5.78423, -13.15, -5.78,-5.6276,-0.15663
-3.5404, -2.24, -3.54,-3.6924,0.152
7.34875, 10.89, 7.35,7.35,0.00125
3.4982, -3.85, 3.5,3.6524,0.1542
9.82877, -6.33, 9.83,9.6776,-0.15117
-9.7119, -19.54, -9.71,-9.5576,-0.1543
9.56706, -19.28, 9.57,9.4176,-0.14946
-9.26473, -18.83, -9.26,-9.1076,-0.15713
-0.20788, -9.05, -0.21,-0.3624,0.15452
-9.41202, -9.2, -9.41,-9.2576,-0.15442
3.45603, -12.87, 3.46,3.3076,-0.14843
-1.7676, -5.23, -1.77,-1.6176,-0.15
-3.79501, 2.03, -3.8,-3.8,0.00499
8.41512, -12.22, 8.42,8.2676,-0.14752
-0.78225, -9.2, -0.78,-0.6276,-0.15465
-8.40413, 7.62, -8.4,-8.4,-0.00413
-1.47236, -6.93, -1.47,-1.6224,0.15004
4.46746, 5.94, 4.47,4.47,0.00254
3.35149, -1.12, 3.35,3.5024,0.15091
9.38946, -6.04, 9.39,9.2376,-0.15186
-5.41792, -14.81, -5.42,-5.2676,-0.15032
-1.62177, -3.8, -1.62,-1.7724,0.15063
8.65164, 10.27, 8.65,8.65,-0.00164
5.28006, -3.37, 5.28,5.4324,0.15234
-5.42307, 10.7, -5.42,-5.42,-0.00307
-1.34568, -4.07, -1.35,-1.5024,0.15672
4.2618, 5.61, 4.26,4.26,-0.0018
6.26028, 2, 6.26,6.26,-0.00028
3.64611, -2.61, 3.65,3.8024,0.15629
6.30458, -2.65, 6.3,6.1476,-0.15698
7.13715, 0.84, 7.14,7.14,0.00285
-7.49544, -14.64, -7.5,-7.3476,-0.14784
8.58032, -16.08, 8.58,8.4276,-0.15272
4.71546, -3.86, 4.72,4.8724,0.15694
4.86187, -0.14, 4.86,4.7076,-0.15427
-8.31258, -13.17, -8.31,-8.1576,-0.15498
-3.15219, -5.16, -3.15,-3.3024,0.15021
-7.43884, -4.29, -7.44,-7.2876,-0.15124
2.44468, -9.88, 2.44,2.2876,-0.15708
2.92613, 0.49, 2.93,2.93,0.00387
8.70651, 5.78, 8.71,8.71,0.00349
-2.92355, -11.63, -2.92,-2.7676,-0.15595
-9.8612, 6.94, -9.86,-9.86,-0.0012
5.93693, -15.8, 5.94,5.7876,-0.14933
9.63751, 3.7, 9.64,9.64,0.00249
1.64327, -8, 1.64,1.7924,0.14913
8.81512, -7.18, 8.82,8.6676,-0.14752
0.35126, -8.47, 0.35,0.5024,0.15114
-8.21881, 8.57, -8.22,-8.22,0.00119
-9.70643, 1.49, -9.71,-9.71,0.00357
-3.26183, -6.45, -3.26,-3.4124,0.15057
-9.71054, -6.45, -9.71,-9.5576,-0.15294
-3.05324, -6.66, -3.05,-3.2024,0.14916
6.14681, 9.2, 6.15,6.15,0.00319
2.53549, -3.61, 2.54,2.6924,0.15691
-6.89639, 9.44, -6.9,-6.9,0.00361
4.78146, -11.68, 4.78,4.6276,-0.15386
-0.02932, -4.81, -0.03,0.1224,0.09308
4.63981, -4.67, 4.64,4.4876,-0.15221
1.0918, -3.55, 1.09,1.2424,0.1506
-4.50728, 5.6, -4.51,-4.51,0.00272
4.34005, -8.85, 4.34,4.1876,-0.15245
5.57727, 1.24, 5.58,5.58,0.00273
-5.91305, -11.49, -5.91,-5.7576,-0.15545
9.48279, -15.39, 9.48,9.3276,-0.15519
-8.58192, -18.06, -8.58,-8.4276,-0.15432
-8.91279, 0.33, -8.91,-8.91,-0.00279
-1.47982, -7.43, -1.48,-1.6324,0.15258
1.75327, 3.23, 1.75,1.75,-0.00327
3.52323, 1.77, 3.52,3.52,-0.00323
9.99615, 6.48, 10,10,0.00385
5.12123, -4.88, 5.12,5.2724,0.15117
8.11829, -3, 8.12,7.9676,-0.15069
-2.07602, -10.2, -2.08,-1.9276,-0.14842
-8.0671, 5.99, -8.07,-8.07,0.0029
3.85222, -11.92, 3.85,3.6976,-0.15462
7.47356, 3.62, 7.47,7.47,-0.00356
-2.8485, -10.32, -2.85,-2.6976,-0.1509
-7.53011, 4.68, -7.53,-7.53,-0.00011
-9.99873, 2.47, -10,-10,0.00127
6.35894, -16.36, 6.36,6.2076,-0.15134
4.75306, -1.61, 4.75,4.9024,0.14934
-3.12213, 7.87, -3.12,-3.12,-0.00213
-9.73811, 6.62, -9.74,-9.74,0.00189
-3.12361, -6.62, -3.12,-3.2724,0.14879
3.76, 6.88, 3.76,3.76,-0
3.86791, 0.11, 3.87,3.87,0.00209
0.076, -3.79, 0.08,0.2324,0.1564
-8.39367, 8.47, -8.39,-8.39,-0.00367
2.61931, -11.01, 2.62,2.4676,-0.15171
-2.659, -5.28, -2.66,-2.5076,-0.1514
-3.03791, 0.38, -3.04,-3.04,0.00209
-0.47009, -2.57, -0.47,-0.6224,0.15231
6.71721, 7.19, 6.72,6.72,0.00279
-7.21313, -13.93, -7.21,-7.0576,-0.15553
-0.12743, -7.08, -0.13,-0.2824,0.15497
1.68059, 1.81, 1.68,1.68,-0.00059
9.40987, 7.73, 9.41,9.41,0.00013
4.28052, -5.13, 4.28,4.4324,0.15188
2.85383, 1.43, 2.85,2.85,-0.00383
-7.36395, 10.21, -7.36,-7.36,-0.00395
-8.08146, 0.72, -8.08,-8.08,-0.00146
4.64594, -12.73, 4.65,4.4976,-0.14834
2.96893, -1.68, 2.97,3.1224,0.15347
5.91322, -2.94, 5.91,5.7576,-0.15562
-5.5784, -11.49, -5.58,-5.4276,-0.1508
2.95211, -8.53, 2.95,2.7976,-0.15451
3.14449, 0.19, 3.14,3.14,-0.00449
-5.85344, -8.99, -5.85,-5.6976,-0.15584
5.28616, -11.14, 5.29,5.1376,-0.14856
-2.15251, -7.44, -2.15,-1.9976,-0.15491
5.58675, -7.74, 5.59,5.4376,-0.14915
-1.8658, -7.46, -1.87,-1.7176,-0.1482
-8.49654, 6.63, -8.5,-8.5,0.00346
7.70243, -16.2, 7.7,7.5476,-0.15483
7.99854, 0.3, 8,8,0.00146
-7.36151, -15.36, -7.36,-7.2076,-0.15391
6.25264, -13.61, 6.25,6.0976,-0.15504
6.18954, -0.06, 6.19,6.3424,0.15286
6.44422, -0.25, 6.44,6.2876,-0.15662
0.18721, -6.25, 0.19,0.3424,0.15519
2.68189, -2.49, 2.68,2.5276,-0.15429
6.35242, 3.67, 6.35,6.35,-0.00242
-5.15441, -11.5, -5.15,-4.9976,-0.15681
2.95593, -8.11, 2.96,2.8076,-0.14833
2.95543, -0, 2.96,3.1124,0.15697
-5.06552, 8.03, -5.07,-5.07,0.00448
-8.16439, 3.09, -8.16,-8.16,-0.00439
8.20649, -16.37, 8.21,8.0576,-0.14889
-3.49011, -11.7, -3.49,-3.3376,-0.15251
7.75621, -11.25, 7.76,7.6076,-0.14861
3.81204, -3.95, 3.81,3.9624,0.15036
-2.02287, 5.83, -2.02,-2.02,-0.00287
-4.98145, 2.96, -4.98,-4.98,-0.00145
6.08349, -11.06, 6.08,5.9276,-0.15589
2.30341, -3.78, 2.3,2.4524,0.14899
-0.67257, 2.97, -0.67,-0.67,-0.00257
3.88236, -4.55, 3.88,3.7276,-0.15476
-1.67799, -5.56, -1.68,-1.5276,-0.15039
9.45926, -11.14, 9.46,9.3076,-0.15166
-1.78101, -11.24, -1.78,-1.6276,-0.15341
-3.3895, 1.61, -3.39,-3.39,0.0005
9.37358, -12.76, 9.37,9.2176,-0.15598
-9.62353, -18.99, -9.62,-9.4676,-0.15593
3.85853, -13.48, 3.86,3.7076,-0.15093
-9.6301, -13.49, -9.63,-9.4776,-0.1525
-1.58023, -8.05, -1.58,-1.7324,0.15217
9.4821, 11.06, 9.48,9.48,-0.0021
1.74919, -7.73, 1.75,1.9024,0.15321
-0.86891, 2.62, -0.87,-0.87,0.00109
2.02913, -2.9, 2.03,1.8776,-0.15153
4.98226, 2.95, 4.98,4.98,-0.00226
-1.89195, -6.87, -1.89,-1.7376,-0.15435
8.71834, -10.61, 8.72,8.5676,-0.15074
1.23729, -7.48, 1.24,1.3924,0.15511
6.83094, -5.59, 6.83,6.6776,-0.15334
-7.22141, -14.05, -7.22,-7.0676,-0.15381
-9.68772, 2.47, -9.69,-9.69,0.00228
0.81112, -10.5, 0.81,0.6576,-0.15352
-4.72639, -5.54, -4.73,-4.5776,-0.14879
-8.56046, 3.83, -8.56,-8.56,-0.00046
-5.82588, -2.73, -5.83,-5.9824,0.15652
4.71589, 10.55, 4.72,4.72,0.00411
-3.05851, -7.78, -3.06,-2.9076,-0.15091
-4.84085, 1.78, -4.84,-4.84,-0.00085
-0.41372, -4.43, -0.41,-0.5624,0.14868
-5.50649, -5.1, -5.51,-5.3576,-0.14889
-9.43104, 3.92, -9.43,-9.43,-0.00104
3.44734, -12.88, 3.45,3.2976,-0.14974
-0.65991, -4.11, -0.66,-0.5076,-0.15231
3.99772, -4.66, 4,3.8476,-0.15012
-2.04704, -6.05, -2.05,-1.8976,-0.14944
4.59472, -6.64, 4.59,4.4376,-0.15712
5.66168, 1.07, 5.66,5.66,-0.00168
4.78891, -0.87, 4.79,4.9424,0.15349
-5.24552, 10.04, -5.25,-5.25,0.00448
-0.28639, -4.96, -0.29,-0.4424,0.15601
6.53161, 6.82, 6.53,6.53,-0.00161
2.65237, -3.88, 2.65,2.8024,0.15003
-8.20086, 10.85, -8.2,-8.2,-0.00086
5.17488, -13.37, 5.17,5.0176,-0.15728
3.40135, -1.77, 3.4,3.5524,0.15105
7.47942, -4.08, 7.48,7.3276,-0.15182
-4.40296, -11.88, -4.4,-4.2476,-0.15536
8.10465, -12.5, 8.1,7.9476,-0.15705
0.13714, -7.96, 0.14,0.2924,0.15526
-7.74156, 7.88, -7.74,-7.74,-0.00156
1.98391, -9.72, 1.98,1.8276,-0.15631
-5.19846, -7.18, -5.2,-5.0476,-0.15086
-4.43152, -0.77, -4.43,-4.5824,0.15088
-8.1582, -3.73, -8.16,-8.0076,-0.1506
-0.06438, -8.1, -0.06,-0.2124,0.14802
4.21441, 4.27, 4.21,4.21,-0.00441
6.35253, 2.14, 6.35,6.35,-0.00253
1.22608, -5.12, 1.23,1.3824,0.15632
-8.02733, 9.26, -8.03,-8.03,0.00267
5.59714, -13.63, 5.6,5.4476,-0.14954
6.99179, 1.39, 6.99,6.99,-0.00179
1.67776, -5.31, 1.68,1.8324,0.15464
7.25926, -5.58, 7.26,7.1076,-0.15166
-2.63507, -9.9, -2.64,-2.4876,-0.14747
5.28639, -7.93, 5.29,5.1376,-0.14879
-3.45096, -8.74, -3.45,-3.2976,-0.15336
8.40787, -11.86, 8.41,8.2576,-0.15027
8.56567, 0.16, 8.57,8.57,0.00433
-9.12275, -17.69, -9.12,-8.9676,-0.15515
8.01294, -17.13, 8.01,7.8576,-0.15534
3.84919, -4.16, 3.85,4.0024,0.15321
-3.3982, 7.25, -3.4,-3.4,0.0018
4.13725, -7.54, 4.14,3.9876,-0.14965
8.83992, 4.7, 8.84,8.84,8E-05
-2.55523, -11.4, -2.56,-2.4076,-0.14763
3.45657, -6.02, 3.46,3.3076,-0.14897
-6.51478, -9.97, -6.51,-6.3576,-0.15718
3.01065, -9.52, 3.01,2.8576,-0.15305
5.06298, 2.05, 5.06,5.06,-0.00298
-9.83016, -14.89, -9.83,-9.6776,-0.15256
4.59032, -14.42, 4.59,4.4376,-0.15272
4.90987, 0.32, 4.91,4.91,0.00013
7.60209, 2.69, 7.6,7.6,-0.00209
-2.3862, -9.99, -2.39,-2.2376,-0.1486
-6.33656, 3.95, -6.34,-6.34,0.00344
8.84308, -15.18, 8.84,8.6876,-0.15548
-9.8331, -18.67, -9.83,-9.6776,-0.1555
1.56771, -11.4, 1.57,1.4176,-0.15011
-7.0898, -8.66, -7.09,-6.9376,-0.1522
2.02259, -9.11, 2.02,1.8676,-0.15499
6.49115, 4.47, 6.49,6.49,-0.00115
2.95458, -3.54, 2.95,3.1024,0.14782
-1.65972, 4.61, -1.66,-1.66,0.00028
-5.78809, 4.13, -5.79,-5.79,0.00191
0.09715, -5.89, 0.1,-0.0524,-0.04475
6.94585, 6.85, 6.95,6.95,0.00415
-1.42994, -8.38, -1.43,-1.2776,-0.15234
2.79136, -4.22, 2.79,2.6376,-0.15376
-7.14938, -9.94, -7.15,-6.9976,-0.15178
5.39135, -12.54, 5.39,5.2376,-0.15375
6.15493, 0.76, 6.15,6.15,-0.00493
2.46484, -3.69, 2.46,2.6124,0.14756
6.41899, -3.96, 6.42,6.2676,-0.15139
-1.45404, -7.87, -1.45,-1.2976,-0.15644
-9.92748, 8.48, -9.93,-9.93,0.00252
0.5853, -10.52, 0.59,0.4376,-0.1477
-7.13319, -7.72, -7.13,-6.9776,-0.15559
6.76026, -13.89, 6.76,6.6076,-0.15266
8.08082, 1.32, 8.08,8.08,-0.00082
-4.26909, -12.35, -4.27,-4.1176,-0.15149
0.9288, -5.2, 0.93,0.7776,-0.1512
-4.40485, -5.33, -4.4,-4.2476,-0.15725
1.67294, -6.07, 1.67,1.5176,-0.15534
7.6022, 5.93, 7.6,7.6,-0.0022
-4.21855, -11.82, -4.22,-4.0676,-0.15095
3.71623, -7.94, 3.72,3.5676,-0.14863
-0.21322, -3.93, -0.21,-0.0576,-0.15562
-3.53304, 3.32, -3.53,-3.53,-0.00304
-6.69928, 3.17, -6.7,-6.7,0.00072
-1.7083, -4.99, -1.71,-1.8624,0.1541
-2.09183, -0.38, -2.09,-1.9376,-0.15423
8.64008, -10.73, 8.64,8.4876,-0.15248
0.66508, -7.97, 0.67,0.8224,0.15732
-9.1163, 9.79, -9.12,-9.12,0.0037
9.88749, -19.01, 9.89,9.7376,-0.14989
5.25086, -4.64, 5.25,5.4024,0.15154
3.13756, 2.11, 3.14,3.14,0.00244
-7.7542, 10.89, -7.75,-7.75,-0.0042
-3.62252, -4.13, -3.62,-3.7724,0.14988
4.28269, 7.9, 4.28,4.28,-0.00269
1.20926, -3.07, 1.21,1.3624,0.15314
9.98373, -8.77, 9.98,9.8276,-0.15613
-0.71286, -10.69, -0.71,-0.5576,-0.15526
9.7199, -10.43, 9.72,9.5676,-0.1523
-9.3435, -19.06, -9.34,-9.1876,-0.1559
-2.4817, -6.86, -2.48,-2.6324,0.1507
6.42494, 8.9, 6.42,6.42,-0.00494
1.90083, -4.52, 1.9,2.0524,0.15157
2.53911, -0.64, 2.54,2.3876,-0.15151
8.36772, 5.83, 8.37,8.37,0.00228
8.16716, -0.2, 8.17,8.3224,0.15524
-0.16994, 8.34, -0.17,-0.17,6E-05
6.82957, -7, 6.83,6.6776,-0.15197
-0.05846, -6.89, -0.06,0.0924,0.03394
-7.10545, 7.05, -7.11,-7.11,0.00455
-2.10876, -5, -2.11,-2.2624,0.15364
-1.71175, 0.4, -1.71,-1.71,-0.00175
-5.36978, -3.66, -5.37,-5.2176,-0.15218
-8.04833, 2.68, -8.05,-8.05,0.00167
9.24291, -17.29, 9.24,9.0876,-0.15531
2.98929, -6.25, 2.99,3.1424,0.15311
-3.57727, 6.57, -3.58,-3.58,0.00273
0.542, -4.12, 0.54,0.3876,-0.1544
0.74141, 0.2, 0.74,0.74,-0.00141
-2.47365, -3.21, -2.47,-2.3176,-0.15605
-1.25605, -1.21, -1.26,-1.4124,0.15635
-5.97825, -4.72, -5.98,-5.8276,-0.15065
-6.74302, 0.76, -6.74,-6.74,-0.00302
-1.93061, -4.81, -1.93,-2.0824,0.15179
-5.08491, -3.15, -5.08,-4.9276,-0.15731
-6.07999, 1, -6.08,-6.08,1E-05
2.84687, -8.93, 2.85,2.6976,-0.14927
-2.33191, -5.18, -2.33,-2.1776,-0.15431
4.27762, -6.61, 4.28,4.1276,-0.15002
3.99653, -0.28, 4,4.1524,0.15587
7.96698, -3.97, 7.97,7.8176,-0.14938
5.37004, -2.6, 5.37,5.5224,0.15236
9.5139, -4.14, 9.51,9.3576,-0.1563
-5.3952, -14.91, -5.4,-5.2476,-0.1476
-3.85326, -1.55, -3.85,-4.0024,0.14914
-2.43942, 1.41, -2.44,-2.44,0.00058
-8.87169, -6.43, -8.87,-8.7176,-0.15409
-4.91948, -3.95, -4.92,-5.0724,0.15292
1.87544, 6.8, 1.88,1.88,0.00456
-4.16971, -6.05, -4.17,-4.0176,-0.15211
7.11179, -11.28, 7.11,6.9576,-0.15419
4.62271, -2.49, 4.62,4.7724,0.14969
-8.54139, 13.16, -8.54,-8.54,-0.00139
-9.07296, 0.53, -9.07,-9.07,-0.00296
-6.502, -2.57, -6.5,-6.6524,0.1504
-2.26067, 4.24, -2.26,-2.26,-0.00067
3.12064, 5.38, 3.12,3.12,-0.00064
-8.96445, -12.08, -8.96,-8.8076,-0.15685
7.42977, -16.39, 7.43,7.2776,-0.15217
7.29141, -0.14, 7.29,7.4424,0.15099
5.75821, 1.53, 5.76,5.76,0.00179
-1.146, 6.91, -1.15,-1.15,0.004
-1.91724, 0.77, -1.92,-1.92,0.00276
-2.65015, 0.73, -2.65,-2.65,-0.00015
-7.76889, 5.12, -7.77,-7.77,0.00111
5.10803, -12.88, 5.11,4.9576,-0.15043
2.589, -2.52, 2.59,2.7424,0.1534
6.38416, -3.79, 6.38,6.2276,-0.15656
8.54951, 2.17, 8.55,8.55,0.00049
5.16094, -3.39, 5.16,5.3124,0.15146
8.87882, -3.72, 8.88,8.7276,-0.15122
-5.35134, -14.23, -5.35,-5.1976,-0.15374
-1.1829, -4.17, -1.18,-1.3324,0.1495
-5.5359, -4.36, -5.54,-5.3876,-0.1483
1.84275, -7.38, 1.84,1.6876,-0.15515
-4.53448, -6.37, -4.53,-4.3776,-0.15688
-1.07748, -3.45, -1.08,-1.2324,0.15492
0.68164, 1.76, 0.68,0.68,-0.00164
1.97077, 1.29, 1.97,1.97,-0.00077
-2.74366, -4.71, -2.74,-2.5876,-0.15606
7.28421, -10.02, 7.28,7.1276,-0.15661
0.08067, -7.2, 0.08,0.2324,0.15173
-2.6786, 2.76, -2.68,-2.68,0.0014
8.2222, -10.9, 8.22,8.0676,-0.1546
5.01436, -3.21, 5.01,5.1624,0.14804
-9.31209, 14.32, -9.31,-9.31,-0.00209
-5.17322, -4.14, -5.17,-5.3224,0.14918
2.51515, 7.69, 2.52,2.52,0.00485
-8.46078, -10.98, -8.46,-8.3076,-0.15318
6.41725, -14.88, 6.42,6.2676,-0.14965
7.15193, 0.73, 7.15,7.15,-0.00193
-1.82375, -8.97, -1.82,-1.6676,-0.15615
-5.52246, 3.7, -5.52,-5.52,-0.00246
-8.18206, 2.66, -8.18,-8.18,-0.00206
-8.7473, 0.57, -8.75,-8.75,0.0027
7.43064, -16.18, 7.43,7.2776,-0.15304
6.23233, -1.2, 6.23,6.3824,0.15007
1.57118, 4.66, 1.57,1.57,-0.00118
-7.26256, 8.83, -7.26,-7.26,-0.00256
-4.15034, -3.11, -4.15,-4.3024,0.15206
3.04257, 7.19, 3.04,3.04,-0.00257
-7.42316, -10.46, -7.42,-7.2676,-0.15556
-9.87968, 2.46, -9.88,-9.88,0.00032
9.78465, -19.66, 9.78,9.6276,-0.15705
2.06064, -7.72, 2.06,2.2124,0.15176
-9.28195, 11.34, -9.28,-9.28,-0.00195
4.29508, -13.58, 4.3,4.1476,-0.14748
8.55119, 4.25, 8.55,8.55,-0.00119
-7.00816, -15.56, -7.01,-6.8576,-0.15056
5.52263, -12.53, 5.52,5.3676,-0.15503
0.63349, -4.89, 0.63,0.7824,0.14891
-5.07868, 5.71, -5.08,-5.08,0.00132
3.2401, -8.32, 3.24,3.0876,-0.1525
5.17435, 1.93, 5.17,5.17,-0.00435
-2.27939, -7.45, -2.28,-2.1276,-0.15179
-0.48571, -1.79, -0.49,-0.6424,0.15669
1.97897, 2.47, 1.98,1.98,0.00103
-4.46185, -6.44, -4.46,-4.3076,-0.15425
0.92909, -5.39, 0.93,0.7776,-0.15149
9.71251, 8.78, 9.71,9.71,-0.00251
7.64537, -2.06, 7.65,7.8024,0.15703
8.57787, -0.93, 8.58,8.4276,-0.15027
8.31681, -0.26, 8.32,8.4724,0.15559
-4.71864, 13.04, -4.72,-4.72,0.00136
-0.9713, -3.75, -0.97,-1.1224,0.1511
7.06129, 8.03, 7.06,7.06,-0.00129
-4.20067, -11.26, -4.2,-4.0476,-0.15307
-7.68796, 3.49, -7.69,-7.69,0.00204
6.84682, -14.54, 6.85,6.6976,-0.14922
4.40672, -2.44, 4.41,4.5624,0.15568
-9.09676, 13.51, -9.1,-9.1,0.00324
-9.01843, -0.08, -9.02,-9.1724,0.15397
-1.85768, 7.16, -1.86,-1.86,0.00232
3.80289, 5.66, 3.8,3.8,-0.00289
-3.28887, -7.09, -3.29,-3.1376,-0.15127
-6.25572, 2.97, -6.26,-6.26,0.00428
3.41183, -9.67, 3.41,3.2576,-0.15423
5.91545, 2.51, 5.92,5.92,0.00455
-9.63432, -15.55, -9.63,-9.4776,-0.15672
9.38536, -19.02, 9.39,9.2376,-0.14776
0.60644, -8.78, 0.61,0.7624,0.15596
-3.87811, 4.49, -3.88,-3.88,0.00189
-6.89147, 3.01, -6.89,-6.89,-0.00147
7.14255, -14.03, 7.14,6.9876,-0.15495
-9.10069, -16.24, -9.1,-8.9476,-0.15309
-6.22133, -2.88, -6.22,-6.3724,0.15107
-0.56253, 5.66, -0.56,-0.56,-0.00253
3.54542, 4.11, 3.55,3.55,0.00458
9.58201, 6.03, 9.58,9.58,-0.00201
-1.24786, -10.83, -1.25,-1.0976,-0.15026
-2.79962, 1.55, -2.8,-2.8,0.00038
-7.09124, 4.29, -7.09,-7.09,-0.00124
7.17782, -14.27, 7.18,7.0276,-0.15022
-9.48451, -16.66, -9.48,-9.3276,-0.15691
-7.92976, -1.55, -7.93,-8.0824,0.15264
-9.02602, -1.1, -9.03,-8.8776,-0.14842
-4.73068, -4.3, -4.73,-4.8824,0.15172
4.39793, 9.13, 4.4,4.4,0.00207
-5.92346, -10.32, -5.92,-5.7676,-0.15586
-7.85061, 1.93, -7.85,-7.85,-0.00061
1.73063, -9.58, 1.73,1.5776,-0.15303
-2.88187, -4.61, -2.88,-2.7276,-0.15427
-1.98305, -0.9, -1.98,-2.1324,0.14935
-0.08942, 1.89, -0.09,-0.09,0.00058
-1.69573, -1.61, -1.7,-1.5476,-0.14813
-4.39765, 2.7, -4.4,-4.4,0.00235
8.652, -13.05, 8.65,8.4976,-0.1544
9.12111, 0.47, 9.12,9.12,-0.00111
-2.64059, -11.76, -2.64,-2.4876,-0.15299
0.68892, -3.33, 0.69,0.5376,-0.15132
1.83404, 1.14, 1.83,1.83,-0.00404
9.41925, 7.59, 9.42,9.42,0.00075
1.18509, -8.23, 1.19,1.3424,0.15731
8.76131, -7.57, 8.76,8.6076,-0.15371
-8.85647, -17.62, -8.86,-8.7076,-0.14887
3.58692, -12.45, 3.59,3.4376,-0.14932
6.92495, 3.33, 6.92,6.92,-0.00495
-3.73649, -10.66, -3.74,-3.5876,-0.14889
-3.73616, -0, -3.74,-3.8924,0.15624
-5.15539, -1.42, -5.16,-5.0076,-0.14779
-2.845, -2.32, -2.84,-2.9924,0.1474
2.3297, 5.17, 2.33,2.33,0.0003
-9.96875, -12.3, -9.97,-9.8176,-0.15115
-6.80767, -3.16, -6.81,-6.9624,0.15473
5.53688, 12.35, 5.54,5.54,0.00312
3.61986, -1.92, 3.62,3.7724,0.15254
0.82752, 2.79, 0.83,0.83,0.00248
6.41751, -5.59, 6.42,6.2676,-0.14991
7.08818, 0.67, 7.09,7.09,0.00182
5.56575, -1.52, 5.57,5.7224,0.15665
-4.04165, 9.61, -4.04,-4.04,-0.00165
-6.97772, 2.94, -6.98,-6.98,0.00228
-9.53404, 2.55, -9.53,-9.53,-0.00404
-7.81504, -1.71, -7.82,-7.9724,0.15736
9.158, 16.98, 9.16,9.16,0.002
6.51849, -2.64, 6.52,6.6724,0.15391
-0.10945, 6.63, -0.11,-0.11,0.00055
9.55888, -9.67, 9.56,9.4076,-0.15128
-2.46209, -12.02, -2.46,-2.3076,-0.15449
-9.04081, 6.58, -9.04,-9.04,-0.00081
2.05892, -11.1, 2.06,1.9076,-0.15132
-2.39198, -4.45, -2.39,-2.2376,-0.15438
3.47129, -5.86, 3.47,3.3176,-0.15369
-9.1295, -12.6, -9.13,-8.9776,-0.1519
-2.80613, -6.32, -2.81,-2.9624,0.15627
8.6004, 11.41, 8.6,8.6,-0.0004
-4.77469, -13.37, -4.77,-4.6176,-0.15709
7.69112, -12.46, 7.69,7.5376,-0.15352
-8.31027, -16, -8.31,-8.1576,-0.15267
4.18017, -12.49, 4.18,4.0276,-0.15257
-0.92023, -5.1, -0.92,-0.7676,-0.15263
-7.09757, 6.18, -7.1,-7.1,0.00243
-3.49345, -3.61, -3.49,-3.6424,0.14895
-0.29261, 3.2, -0.29,-0.29,-0.00261
-8.02559, -7.74, -8.03,-7.8776,-0.14799
9.78208, -17.81, 9.78,9.6276,-0.15448
0.03526, -9.74, 0.04,0.1924,0.15714
0.60944, -0.57, 0.61,0.4576,-0.15184
5.99789, 5.39, 6,6,0.00211
-2.31226, -8.31, -2.31,-2.1576,-0.15466
7.59502, -9.91, 7.6,7.4476,-0.14742
7.05986, -0.54, 7.06,7.2124,0.15254
8.66514, -1.61, 8.67,8.5176,-0.14754
2.92425, -5.75, 2.92,3.0724,0.14815
9.67723, -6.76, 9.68,9.5276,-0.14963
3.88182, -5.8, 3.88,4.0324,0.15058
4.76002, -0.88, 4.76,4.6076,-0.15242
2.18739, -2.57, 2.19,2.3424,0.15501
-0.44266, 2.63, -0.44,-0.44,-0.00266
5.47752, -5.92, 5.48,5.3276,-0.14992
-8.03666, -13.52, -8.04,-7.8876,-0.14906
-6.08984, -1.95, -6.09,-6.2424,0.15256
-9.21336, -3.12, -9.21,-9.0576,-0.15576
9.4516, -18.66, 9.45,9.2976,-0.154
